序号,成果名称,完成人,完成单位
1,“知识、能力、素质、人格”并重的KAQ2.0新时代一流本科教育体系,吴朝晖、张光新、胡吉明、李恒威、罗建红、陆国栋、刘向东、邬小撑、郭文刚、邱利民、金娟琴、刘鹏、顾颖杰、杨旸、王英芳,浙江大学
2,“力学3.0”导向的工程科学前沿拔尖创新人才培养体系构建与实践,杨卫、赵沛、李振华、王永、曲绍兴、王惠明、王宏涛、金肖玲、吴昌聚、庄表中,浙江大学
3,“以我为主、一对多、高水平”打造国际合作教育样板区,何莲珍、欧阳宏伟、李尔平、傅强、诸葛洋、王玉芬、周金其、屈利娟、瞿海东、Susan Welburn、Philip Krein,浙江大学
4,新医科视阈下的“医学+”交叉融合卓越人才培养新模式探索与实践,周天华、徐凌霄、马振秋、韩魏、徐骁、李晓明、许正平、柯越海、方向明、林卓清、应婧倞、沈思思、丁萌琪、赵丽娜、张莎、邢沁青、许士琪、冯吉妤,浙江大学
5,评估牵引、声誉导向、多方联动的竞赛治理优化及其成效,陆国栋、赵春鱼、何钦铭、陈临强、吴英策、颜晖、张炜、张克俊、顾大强、魏志渊、王进、张聪、赵燕、阚阅、孙永乐,浙江大学、中国高等教育学会、中国计量大学、杭州电子科技大学、浙大城市学院、杭州简学科技有限公司
6,以科研驱动式教学为核心的经济学人才研究创新能力提升范式的探索与实践,方红生、黄先海、潘士远、陆菁、朱柏铭、黄勇,浙江大学
7,新时代背景下的全面助教制度改革与实践：从理科公共基础课程试点开始,胡吉明、方文军、王彦广、赵华绒、盛为民、赵道木、王晓莹、杨旸、吕萍、彭笑刚、刘占祥、吴百乐、张嘉捷、谭桂娥,浙江大学
8,以生为本、整合创新、科教互促—食品保藏课程群教学改革与实践,罗自生、茅林春、叶兴乾、张良、刘鹏、李莉、陈士国、应铁进、吴丹、李阳,浙江大学
9,厚植家国情怀的机械工程全员、全过程、 全方位育人体系探索与实践,杨华勇、梅德庆、项淑芳、刘振宇、王晓莹、闫小龙、王芳官、宋晓云、叶建芳、张瑜彬、金娟霞,浙江大学
10,基于Wet Lab平台、以临床能力为导向的眼科专业学位研究生教学改革与实践,姚克、申屠形超、杨亚波、方肖云、叶娟、徐雯、汤霞靖、张丽、朱亚楠、鱼音慧,浙江大学
11,卓越博士研究生学位质量保障与监督体系的构建与实践,叶恭银、蒋笑莉、衣龙涛、郑龑、陈良、汪海飞、王树正、张君、韩淑云、凌正鸯、朱丹薇、王岐琦、梁君英、王家平,浙江大学
12,直面产业复合交叉工程类专业学位硕士研究生培养模式系统性改革方案,韦巍、严建华、吴健、陈丰秋、江全元、章献民、周文文、赵阳、赵张耀、陈智峰、刘翔、俞小莉、喻嘉乐、陈金飞、张聪、任洪波、林志红,浙江大学
13,以人民为中心——高等艺术教育“同轴双向”的育人体系建构与实践,许江、高世名、封治国、何红舟、邬大勇、杨奇瑞、班陵生、黄骏、盛天晔、张春艳,中国美术学院
14,课程思政、专业思政、教师思政一体化建设的探索与实践,虞晓芬、蓝汉林、江颉、陈冲、方学礼、袁旦、孙建强、邢乐勤、许伟通、杨克勤,浙江工业大学
15,地方工科院校以能力为导向的大学物理教学新范式,施建青、徐志君、林强、魏高尧、李珍、童建平、王俊杰,浙江工业大学
16,三维耦合?三链融合 培养生物产业工程科技创新人才,郑裕国、郑仁朝、吴石金、王亚军、钟卫鸿、汤晓玲、章银军、余志良、王远山、应向贤,浙江工业大学
17,思创融汇  专创融合 师创融通——师范院校创新创业教育体系的探索与实践,郑孟状、王淑娉、温建明、魏梦璐、郑文哲、叶志雄、马莉、陈海峰、陈乃启、朱哲成,浙江师范大学
18,基于RICH理念的中学英语卓越教师培养模式15年探索与实践,胡美馨、骆传伟、俞明祥、竺金飞、胡伟杰、俞燕明、孔菊芳、张亚萍、郑志恋、罗晓杰,浙江师范大学
19,“三化?三教”培养面向纺织新经济的“三创”人才,陈文兴、周赳、陈建勇、盛清、傅雅琴、祝成炎、邹奉元、陈敏之、于斌、胡毅,浙江理工大学
20,面向工程创新能力培养，构建电子类专业实践育人新体系,陈龙、程知群、李文钧、高明煜、黄继业、王光义、马学条、郑鹏,杭州电子科技大学
21,经济统计人才一体多元“CAMP”能力培养模式的探索与实践,苏为华、陈钰芬、陈骥、张崇辉、陈宜治、徐蔼婷、浦国华、曾慧、向书坚、朱贺,浙江工商大学
22,长效协同，多元融合，培养适宜行业发展需求的高层次创新人才的探索与实践,俞晓平、李海芬、张勇、李战国、孙坚、冯爱明、李运堂、梁晓瑜、王义康、陈春,中国计量大学
